City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,sortavala,61.7053,30.6918,1.68,96,90,5.36,RU,2024-04-24
151,sinjar,36.3209,41.8754,19.49,38,4,2.46,IQ,2024-04-24
152,camapua,-19.5314,-54.0439,21.26,67,3,0.97,BR,2024-04-24
153,nikolayevsk-on-amure,53.1406,140.73,12.34,58,100,1.34,RU,2024-04-24
154,kayyerkan,69.3786,87.7439,-10.95,93,36,1.75,RU,2024-04-24
155,atafu village,-8.5421,-172.5159,29.79,73,11,3.51,TK,2024-04-24
156,west island,-12.1568,96.8225,28.99,74,100,5.66,CC,2024-04-24
157,winnipeg,49.8844,-97.147,3.32,45,0,2.57,CA,2024-04-24
158,merizo village,13.2658,144.6691,27.77,90,76,6.84,GU,2024-04-24
159,iskateley,67.6803,53.1512,-13.32,84,11,3.58,RU,2024-04-24
160,tokar,18.4254,37.729,26.6,67,0,4.9,SD,2024-04-24
161,peniche,39.3558,-9.3811,13.03,90,100,4.55,PT,2024-04-24
162,sitka,57.0531,-135.33,10.94,62,100,3.6,US,2024-04-24
163,nishinoomote,30.7333,131.0,20.17,86,80,10.83,JP,2024-04-24
164,taksimo,56.3444,114.8794,5.58,50,96,1.97,RU,2024-04-24
165,oodweyne,9.4092,45.064,24.04,67,27,1.74,SO,2024-04-24
166,codrington,-38.2667,141.9667,14.01,50,78,7.66,AU,2024-04-24
167,puerto madero,14.7208,-92.4215,29.11,74,40,0.0,MX,2024-04-24
168,nyurba,63.2842,118.3319,0.06,94,100,5.02,RU,2024-04-24
169,eydhafushi,5.1033,73.0708,29.25,73,7,3.76,MV,2024-04-24
170,east ballina,-28.8667,153.5833,24.89,54,93,1.25,AU,2024-04-24
171,chichli,22.8333,78.8167,33.29,26,0,2.5,IN,2024-04-24
172,mossel bay,-34.1831,22.146,14.96,93,100,1.27,ZA,2024-04-24
173,stanley,54.868,-1.6985,4.04,80,75,4.12,GB,2024-04-24
174,mount isa,-20.7333,139.5,31.87,40,40,4.12,AU,2024-04-24
175,ta`u,-14.2336,-169.5144,28.84,70,17,3.51,AS,2024-04-24
176,lompoc,34.6391,-120.4579,13.77,74,0,2.57,US,2024-04-24
177,bouarfa,32.53,-1.95,12.9,46,100,3.83,MA,2024-04-24
178,zavety il'icha,49.0294,140.2494,12.87,53,100,3.56,RU,2024-04-24
179,rikaze,29.25,88.8833,8.11,24,7,1.87,CN,2024-04-24
180,ribeira grande,38.5167,-28.7,15.99,81,100,6.26,PT,2024-04-24
181,gilgit,35.9221,74.3087,12.08,50,58,2.0,PK,2024-04-24
182,dayton,39.7589,-84.1916,12.32,92,75,3.6,US,2024-04-24
183,port mathurin,-19.6833,63.4167,26.89,77,98,7.17,MU,2024-04-24
184,nemuro,43.3236,145.575,4.95,86,100,5.51,JP,2024-04-24
185,palmer,42.1584,-72.3287,8.75,56,75,4.63,US,2024-04-24
186,kone,-21.0595,164.8658,27.92,73,89,3.86,NC,2024-04-24
187,cuamba,-14.8031,36.5372,18.45,95,41,0.87,MZ,2024-04-24
188,zuyevka,58.405,51.1335,6.84,84,99,6.44,RU,2024-04-24
189,iskushuban,10.2837,50.23,25.92,80,11,0.84,SO,2024-04-24
190,hadibu,12.65,54.0333,27.49,73,4,1.16,YE,2024-04-24
191,tikhvin,59.6451,33.5294,1.23,94,98,2.28,RU,2024-04-24
192,punta arenas,-53.15,-70.9167,8.06,71,100,6.17,CL,2024-04-24
193,sanctuary point,-35.1114,150.629,24.62,48,16,4.07,AU,2024-04-24
194,at taj,24.2049,23.2857,25.81,11,2,4.02,LY,2024-04-24
195,koysinceq,36.0821,44.6278,16.35,49,0,2.91,IQ,2024-04-24
196,i-n-salah,27.1935,2.4607,21.92,22,74,2.89,DZ,2024-04-24
197,tralee,52.2704,-9.7026,8.62,90,95,1.74,IE,2024-04-24
198,soio,-6.1349,12.3689,25.89,87,100,1.62,AO,2024-04-24
199,fale old settlement,-9.3852,-171.2468,29.76,75,14,3.69,TK,2024-04-24
200,ariquemes,-9.9133,-63.0408,24.38,92,27,1.06,BR,2024-04-24
201,goregaon,18.1667,73.3,30.06,48,35,1.83,IN,2024-04-24
202,naifaru,5.4444,73.3657,29.32,73,18,3.15,MV,2024-04-24
203,arkalyk,50.2486,66.9114,14.84,40,98,6.73,KZ,2024-04-24
204,avarua,-21.2078,-159.775,27.03,61,67,3.6,CK,2024-04-24
205,juegang,32.3174,121.1855,21.61,38,96,4.04,CN,2024-04-24
206,puno,-15.8333,-70.0333,6.31,69,78,1.16,PE,2024-04-24
207,santa ana,33.7456,-117.8678,17.59,75,20,3.09,US,2024-04-24
208,kailua-kona,19.6406,-155.9956,25.98,84,100,3.09,US,2024-04-24
209,saipan,15.1355,145.701,32.39,58,40,7.2,MP,2024-04-24
210,daru,-9.0763,143.2092,27.82,87,93,5.07,PG,2024-04-24
211,dauphin,51.1494,-100.0502,4.08,56,0,4.63,CA,2024-04-24
212,ribeira brava,32.65,-17.0667,21.35,42,85,0.05,PT,2024-04-24
213,kuusamo,65.9667,29.1833,1.02,93,100,6.17,FI,2024-04-24
214,cruces,22.3411,-80.2667,24.0,82,19,3.98,CU,2024-04-24
215,fort mcmurray,56.7268,-111.381,13.73,30,0,4.63,CA,2024-04-24
216,itaituba,-4.2761,-55.9836,24.23,100,100,0.74,BR,2024-04-24
217,abagur,53.7308,87.2526,-4.32,68,100,3.59,RU,2024-04-24
218,karwar,14.8,74.1333,29.68,66,36,1.38,IN,2024-04-24
219,kodinar,20.7903,70.7031,28.15,52,0,5.69,IN,2024-04-24
220,labasa,-16.4167,179.3833,28.92,77,54,2.06,FJ,2024-04-24
221,rabigh,22.7986,39.0349,30.46,28,4,2.72,SA,2024-04-24
222,bethanie,-26.4833,17.15,19.96,34,0,0.86,NA,2024-04-24
223,egilsstadir,65.2653,-14.3948,-2.05,100,0,2.57,IS,2024-04-24
224,grand falls-windsor,48.9332,-55.6649,1.95,72,100,2.99,CA,2024-04-24
225,yuxia,34.0615,108.6291,22.84,36,97,2.65,CN,2024-04-24
226,thinadhoo,0.5333,72.9333,29.41,76,94,6.89,MV,2024-04-24
227,tazovsky,67.4667,78.7,-10.93,91,69,5.06,RU,2024-04-24
228,bratsk,56.1325,101.6142,1.86,51,37,4.35,RU,2024-04-24
229,yaren,-0.5472,166.916,29.21,73,100,4.37,NR,2024-04-24
230,canutama,-6.5339,-64.3831,24.64,95,100,1.86,BR,2024-04-24
231,utrik,11.2278,169.8474,27.22,84,95,8.31,MH,2024-04-24
232,mokhsogollokh,61.4681,128.9203,-0.43,100,100,2.55,RU,2024-04-24
233,upington,-28.4478,21.2561,14.21,41,0,0.0,ZA,2024-04-24
234,touros,-5.1989,-35.4608,26.63,83,100,3.53,BR,2024-04-24
235,mooloolaba,-26.6833,153.1167,26.14,83,2,1.34,AU,2024-04-24
236,cabo san lucas,22.8909,-109.9124,25.17,63,20,2.06,MX,2024-04-24
237,kruisfontein,-34.0033,24.7314,15.96,85,100,1.93,ZA,2024-04-24
238,trapani,37.8333,12.6667,13.05,72,40,4.63,IT,2024-04-24
239,moussoro,13.6408,16.4901,30.94,12,3,3.41,TD,2024-04-24
240,nowa sarzyna,50.3209,22.3446,9.05,92,100,3.55,PL,2024-04-24
241,mount martha,-38.2755,145.0308,15.99,56,92,7.59,AU,2024-04-24
242,lusambo,-4.9667,23.45,21.71,99,100,0.86,CD,2024-04-24
243,aasiaat,68.7098,-52.8699,-3.97,98,82,0.13,GL,2024-04-24
244,uturoa,-16.7333,-151.4333,28.44,74,8,2.87,PF,2024-04-24
245,hays,30.0502,-98.0336,21.13,86,31,0.89,US,2024-04-24
